,File, V_Neg, V_Neut, V_Pos, A_Neut, A_Pos, Laning, Shopping, Returning, Roaming, Fighting, Pushing, Defending, Dead, Misc, Interest
2616,236_08_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
516,125_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6831,40_010_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3639,76_01_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
160,106_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2756,29_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
7001,143_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3674,78_01_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
4882,114_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5980,154_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
960,149_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
409,12_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
1288,166_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
551,127_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
7149,222_06_02.mp4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
5360,72_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
3074,45_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
1716,189_09_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
120,104_01_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3
6204,150_07_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
6294,40_08_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1682,187_09_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6750,113_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6708,149_09_03.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
382,118_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6759,204_010_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3294,57_06_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2481,229_09_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
5063,45_03_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5859,226_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
810,140_05_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1544,18_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2176,213_01_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
3777,83_010_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
5853,3_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1031,152_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4777,79_09_02.mp4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
2990,40_08_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3778,83_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
3014,42_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4930,147_010_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6275,84_08_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2054,206_07_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
4883,123_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4262,17_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
6928,58_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6524,6_09_03.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
4216,200_07_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4
2419,226_02_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
6891,196_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6829,94_010_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
4223,145_07_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
4304,29_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
892,145_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4370,40_08_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1011,151_03_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
6162,162_07_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5349,11_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4666,194_09_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
7029,215_06_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
668,133_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1276,166_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
6657,107_09_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6864,208_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6768,129_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2385,224_02_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
3079,46_01_03.mp4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3
1232,163_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
3386,62_010_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4
4682,208_09_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
353,116_06_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5701,213_05_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
6918,89_010_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
4874,91_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2322,220_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3791,84_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2836,32_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6884,92_010_03.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
2146,211_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1154,159_08_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3852,87_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
4091,237_07_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
4458,50_08_02.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
6815,206_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2108,21_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
206,109_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
4913,6_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4316,124_07_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1284,166_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1644,185_05_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
3111,48_01_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
4506,229_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3616,74_05_02.mp4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
1265,165_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6985,126_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3017,42_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4411,22_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4791,91_09_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
2620,237_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4
1094,156_02_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3836,86_05_01.mp4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
311,114_02_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
3846,87_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
5985,102_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
891,145_03_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
5275,221_03_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6558,32_09_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6933,2_010_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3007,41_08_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
1146,159_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5685,148_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5433,92_04_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
2821,31_09_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
103,103_01_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6988,16_06_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
67,100_09_01.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
3250,55_010_01.mp4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2
6488,0_09_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2
2234,216_03_01.mp4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
3801,84_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1293,167_01_02.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3
6678,97_09_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1128,158_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
760,138_05_02.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1213,162_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5651,143_05_03.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
3603,73_09_01.mp4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
4993,216_010_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
3374,61_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4562,10_09_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
5507,7_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3192,51_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5552,108_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
893,145_04_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
2133,210_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
469,122_04_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2852,33_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
4783,84_09_02.mp4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
3824,85_09_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
452,121_04_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3960,92_09_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2364,223_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6855,74_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5766,198_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2759,29_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6491,210_09_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1913,2_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1461,175_09_01.mp4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
4498,129_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
419,12_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2284,219_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
2435,227_02_01.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2
6220,192_07_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4683,209_09_02.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
3730,80_03_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1984,202_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4320,101_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1226,163_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1972,202_01_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
3488,68_010_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6210,74_07_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1236,163_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
2140,210_08_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1996,203_03_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
3860,88_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
4089,111_07_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5923,179_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
2741,28_02_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
2791,30_010_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
2614,236_06_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
1473,176_05_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
4088,14_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3231,54_01_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5662,187_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
288,112_09_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
858,143_03_02.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
2277,218_09_01.mp4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
3295,57_07_01.mp4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
4794,94_09_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1335,169_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6842,79_010_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1479,177_01_01.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
6071,203_07_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
884,145_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
30,1_06_01.mp4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2
3694,79_02_02.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
4329,193_08_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1806,194_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
6735,28_010_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4228,198_07_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
528,126_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2827,32_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4541,182_08_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
4934,103_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5845,133_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5711,29_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
561,128_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3
3322,59_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2884,35_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3441,65_03_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
3751,81_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1513,179_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
4144,20_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5908,210_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6432,81_08_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
2285,219_03_01.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2
1287,166_05_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1925,20_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4
2420,226_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
7057,66_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4898,66_010_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
3284,57_010_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4412,133_08_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
5284,31_04_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2180,213_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
1060,154_02_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
4958,71_010_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2377,223_07_01.mp4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
3397,62_07_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
284,112_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2403,225_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1219,162_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
1067,154_06_01.mp4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1840,196_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
3629,75_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6446,51_08_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5340,30_04_03.mp4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
3365,60_09_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1609,183_05_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1937,20_09_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
1542,18_05_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
5192,85_03_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4
828,141_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
3083,46_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3456,66_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2676,24_03_01.mp4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2
4784,85_09_02.mp4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2
1042,153_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3557,71_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
4160,76_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
1924,20_010_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6128,181_07_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
5403,68_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
5729,150_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
3258,55_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4787,88_09_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
259,111_02_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6783,167_010_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2
257,111_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
6953,115_010_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
503,124_04_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
2026,205_010_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
87,102_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6810,80_010_03.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
6983,195_06_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4663,191_09_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
4538,125_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3612,74_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
2994,41_01_03.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2
1202,161_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
2826,32_02_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
4018,96_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3631,75_04_02.mp4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
6709,194_09_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
4257,162_07_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
4027,96_08_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
6399,111_08_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6396,183_08_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
471,122_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
